Timestamp,Birthday,Birthday,Zodiac,MBTI Type
4/15/2020 4:26,10/5/2020,5-Oct,Libra,INFP
4/16/2020 17:02,1/1/2007,1-Jan,Capricorn,ENTP
4/17/2020 20:05,10/3/2006,3-Oct,Libra,INTP
4/15/2020 8:35,8/3/2006,3-Aug,Leo,INTP
4/14/2020 6:46,4/16/2006,16-Apr,Aries,ESFP
4/13/2020 17:04,11/29/2005,29-Nov,Sagittarius,ENTP
4/13/2020 22:01,3/23/2005,23-Mar,Aries,INTJ
4/13/2020 12:14,9/9/2004,9-Sep,Virgo,INTP
4/13/2020 21:35,6/20/2004,20-Jun,Gemini,ENFJ
4/13/2020 15:48,2/20/2004,20-Feb,Pisces,INTJ
4/14/2020 5:37,12/12/2003,12-Dec,Sagittarius,INTJ
4/13/2020 23:18,7/23/2003,23-Jul,Leo,ISFJ
4/13/2020 11:05,2/26/2003,26-Feb,Aquaris,INFP
4/14/2020 12:19,12/30/2002,30-Dec,Sagittarius,INFJ
4/13/2020 13:38,9/27/2002,27-Sep,Libra,ENFP
4/13/2020 10:37,7/13/2002,13-Jul,Cancer,INTJ
4/14/2020 12:20,6/21/2002,21-Jun,Cancer,INTP
4/13/2020 10:10,5/8/2002,8-May,Taurus,INTP
4/13/2020 13:30,4/24/2002,24-Apr,Gemini,INFJ
4/13/2020 11:36,4/15/2002,15-Apr,Taurus,INTP
4/13/2020 20:18,4/4/2002,4-Apr,Taurus,INTJ
4/13/2020 14:41,3/29/2002,29-Mar,Aries,ISFP
4/13/2020 17:29,2/6/2002,6-Feb,Aquaris,INFJ
4/15/2020 16:06,1/27/2002,27-Jan,Capricorn,INFP
4/13/2020 22:47,9/9/2001,9-Sep,Virgo,ESTJ
4/13/2020 15:42,3/20/2001,20-Mar,Pisces,INTP
4/16/2020 17:05,1/1/2001,1-Jan,Capricorn,ENTP
4/13/2020 6:17,12/31/2000,31-Dec,Capricorn,ENTP
4/13/2020 6:13,12/30/2000,30-Dec,Capricorn,ENFJ
4/13/2020 0:52,12/28/2000,28-Dec,Capricorn,INFP
4/13/2020 0:39,12/27/2000,27-Dec,Capricorn,INFP
4/13/2020 1:57,12/26/2000,26-Dec,Capricorn,INTJ
4/13/2020 4:06,12/26/2000,26-Dec,Capricorn,ENTP
4/13/2020 11:23,12/25/2000,25-Dec,Capricorn,INFJ
4/13/2020 1:11,12/24/2000,24-Dec,Capricorn,ESFP
4/13/2020 2:34,12/22/2000,22-Dec,Capricorn,INTJ
4/12/2020 22:26,12/19/2000,19-Dec,Sagittarius,ENFP
4/13/2020 1:14,12/19/2000,19-Dec,Sagittarius,INTP
4/13/2020 11:55,12/19/2000,19-Dec,Sagittarius,ENFP
4/12/2020 21:39,12/18/2000,18-Dec,Sagittarius,INFJ
4/12/2020 19:29,12/15/2000,15-Dec,Sagittarius,INFP
4/13/2020 8:56,12/15/2000,15-Dec,Sagittarius,ISFJ
4/12/2020 20:32,12/14/2000,14-Dec,Sagittarius,ESTP
4/13/2020 1:33,12/13/2000,13-Dec,Sagittarius,INFJ
4/12/2020 22:22,12/12/2000,12-Dec,Sagittarius,ENFP
4/13/2020 2:11,12/12/2000,12-Dec,Sagittarius,INFP
4/13/2020 6:47,12/11/2000,11-Dec,Sagittarius,ESFJ
4/12/2020 23:22,12/7/2000,7-Dec,Sagittarius,INFJ
4/13/2020 0:48,12/3/2000,3-Dec,Sagittarius,INTP
4/13/2020 6:12,11/30/2000,30-Nov,Sagittarius,INFP
4/13/2020 6:16,11/29/2000,29-Nov,Sagittarius,INTP
4/13/2020 2:51,11/26/2000,26-Nov,Sagittarius,INFJ
